"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Oligella ureolytica","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Oligella","Oligella ureolytica"
"Oligella urethralis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Oligella","Oligella urethralis"
"Paenalcaligenes hominis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Paenalcaligenes","Paenalcaligenes hominis"
"Pusillimonas sp JR1 69 2 13","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Pusillimonas","Pusillimonas sp JR1 69 2 13"
"Pusillimonas sp JR1 69 3 13","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Pusillimonas","Pusillimonas sp JR1 69 3 13"
"Burkholderiales bacterium RIFCSPLOWO2 12 FULL 65 40","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiales_unclassified","g__Burkholderiales_unclassified","Burkholderiales bacterium RIFCSPLOWO2 12 FULL 65 40"
"Acidovorax defluvii","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax","Acidovorax defluvii"
"Acidovorax sp NO 1","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax","Acidovorax sp NO 1"
"Comamonas aquatica","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Comamonas aquatica"
"Comamonas kerstersii","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Comamonas kerstersii"
"Comamonas sp JNW","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Comamonas sp JNW"
"Comamonas terrigena","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Comamonas terrigena"
"Comamonas testosteroni","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Comamonas testosteroni"
"Delftia acidovorans","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Delftia","Delftia acidovorans"
"Delftia tsuruhatensis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Delftia","Delftia tsuruhatensis"
"Hydrogenophaga sp A37","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hydrogenophaga","Hydrogenophaga sp A37"
"Hydrogenophaga sp H7","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hydrogenophaga","Hydrogenophaga sp H7"
"Malikia spinosa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Malikia","Malikia spinosa"
"Schlegelella thermodepolymerans","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Schlegelella","Schlegelella thermodepolymerans"
"Variovorax paradoxus","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Variovorax","Variovorax paradoxus"
"Duganella phyllosphaerae","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Duganella","Duganella phyllosphaerae"
"Massilia oculi","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","Massilia oculi"
"Massilia sp LC238","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","Massilia sp LC238"
"Massilia sp Leaf139","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","Massilia sp Leaf139"
"Massilia timonae","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","Massilia timonae"
"Alysiella crassa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Alysiella","Alysiella crassa"
"Prolinoborus fasciculus","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Prolinoborus","Prolinoborus fasciculus"
"Nitrosomonas communis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosomonas","Nitrosomonas communis"
"Nitrosomonas mobilis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosomonas","Nitrosomonas mobilis"
"Nitrosomonas nitrosa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosomonas","Nitrosomonas nitrosa"
"Nitrosomonas ureae","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosomonas","Nitrosomonas ureae"
"Nitrosospira briensis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosospira","Nitrosospira briensis"
"Nitrosospira multiformis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosospira","Nitrosospira multiformis"
"Nitrosospira sp Nsp14","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__Nitrosospira","Nitrosospira sp Nsp14"
"Thiobacillus denitrificans","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Thiobacillaceae","g__Thiobacillus","Thiobacillus denitrificans"
"Azoarcus sp SY39","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Zoogloeaceae","g__Azoarcus","Azoarcus sp SY39"
"Desulfatitalea sp BRH c12","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Desulfatitalea","Desulfatitalea sp BRH c12"
"Desulfobacter sp","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Desulfobacter","Desulfobacter sp"
"Desulfococcus multivorans","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Desulfococcus","Desulfococcus multivorans"
"Desulfovibrio alaskensis","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","Desulfovibrio alaskensis"
"Lawsonia intracellularis","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Lawsonia","Lawsonia intracellularis"
"Desulfuromonas soudanensis","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfuromonadales","f__Desulfuromonadaceae","g__Desulfuromonas","Desulfuromonas soudanensis"
"Anaeromyxobacter sp Fw109 5","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Anaeromyxobacteraceae","g__Anaeromyxobacter","Anaeromyxobacter sp Fw109 5"
"Archangium gephyra","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Archangiaceae","g__Archangium","Archangium gephyra"
"Cystobacter fuscus","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Archangiaceae","g__Cystobacter","Cystobacter fuscus"
"Stigmatella aurantiaca","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Archangiaceae","g__Stigmatella","Stigmatella aurantiaca"
"Myxococcus xanthus","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Myxococcaceae","g__Myxococcus","Myxococcus xanthus"
"Nannocystis exedens","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Nannocystaceae","g__Nannocystis","Nannocystis exedens"
"Chondromyces crocatus","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Polyangiaceae","g__Chondromyces","Chondromyces crocatus"
"Sorangium cellulosum","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Polyangiaceae","g__Sorangium","Sorangium cellulosum"
"Arcobacter butzleri","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Arcobacter","Arcobacter butzleri"
"Arcobacter cryaerophilus","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Arcobacter","Arcobacter cryaerophilus"
"Arcobacter skirrowii","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Arcobacter","Arcobacter skirrowii"
"Campylobacter hyointestinalis","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","Campylobacter hyointestinalis"
"Campylobacter jejuni","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","Campylobacter jejuni"
"Campylobacter lanienae","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","Campylobacter lanienae"
"Campylobacter sputorum","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","Campylobacter sputorum"
"Aeromonas allosaccharophila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Aeromonas","Aeromonas allosaccharophila"
"Aeromonas caviae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Aeromonas","Aeromonas caviae"
"Aeromonas media","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Aeromonas","Aeromonas media"
"Aeromonas rivipollensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Aeromonas","Aeromonas rivipollensis"
"Aeromonas salmonicida","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Aeromonas","Aeromonas salmonicida"
"Oceanimonas sp GK1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Oceanimonas","Oceanimonas sp GK1"
"Oceanisphaera profunda","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Oceanisphaera","Oceanisphaera profunda"
"Zobellella taiwanensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Aeromonadaceae","g__Zobellella","Zobellella taiwanensis"
"Anaerobiospirillum thomasii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Anaerobiospirillum","Anaerobiospirillum thomasii"
"Alishewanella agri","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Alishewanella","Alishewanella agri"
"Marinobacter excellens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Marinobacter","Marinobacter excellens"
"Marinobacter hydrocarbonoclasticus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Marinobacter","Marinobacter hydrocarbonoclasticus"
"Marinobacter sp PWS21","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Marinobacter","Marinobacter sp PWS21"
"Marinobacter vinifirmus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Marinobacter","Marinobacter vinifirmus"
"Aliidiomarina maris","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Idiomarinaceae","g__Aliidiomarina","Aliidiomarina maris"
"Idiomarina donghaiensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Idiomarinaceae","g__Idiomarina","Idiomarina donghaiensis"
"Idiomarina indica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Idiomarinaceae","g__Idiomarina","Idiomarina indica"
"Idiomarina tainanensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Idiomarinaceae","g__Idiomarina","Idiomarina tainanensis"
"Pseudoalteromonas nigrifaciens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Pseudoalteromonadaceae","g__Pseudoalteromonas","Pseudoalteromonas nigrifaciens"
"Shewanella baltica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Shewanellaceae","g__Shewanella","Shewanella baltica"
"Shewanella morhuae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Shewanellaceae","g__Shewanella","Shewanella morhuae"
"Shewanella putrefaciens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Shewanellaceae","g__Shewanella","Shewanella putrefaciens"
"Cellvibrio sp BR","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","Cellvibrio sp BR"
"Cellvibrio sp PSBB006","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Cellvibrionaceae","g__Cellvibrio","Cellvibrio sp PSBB006"
"Allochromatium vinosum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Chromatiaceae","g__Allochromatium","Allochromatium vinosum"
"Nitrosococcus oceani","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Chromatiaceae","g__Nitrosococcus","Nitrosococcus oceani"
"Rheinheimera pacifica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Chromatiaceae","g__Rheinheimera","Rheinheimera pacifica"
"Rheinheimera salexigens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Chromatiaceae","g__Rheinheimera","Rheinheimera salexigens"
"Rheinheimera sp EpRS3","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Chromatiaceae","g__Rheinheimera","Rheinheimera sp EpRS3"
"Thiorhodospira sibirica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__Thiorhodospira","Thiorhodospira sibirica"
"Enterobacterales bacterium CwR94","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacterales_unclassified","g__Enterobacterales_unclassified","Enterobacterales bacterium CwR94"
"Atlantibacter hermannii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Atlantibacter","Atlantibacter hermannii"
"Cedecea lapagei","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cedecea","Cedecea lapagei"
"Citrobacter amalonaticus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter amalonaticus"
"Citrobacter braakii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter braakii"
"Citrobacter freundii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter freundii"
"Citrobacter pasteurii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter pasteurii"
"Citrobacter portucalensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter portucalensis"
"Citrobacter sp 50677481","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter sp 50677481"
"Citrobacter youngae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Citrobacter","Citrobacter youngae"
"Enterobacter bugandensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter bugandensis"
"Enterobacter cloacae complex","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter cloacae complex"
"Enterobacter mori","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter mori"
"Enterobacter sp 10 1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter sp 10 1"
"Enterobacter sp 638","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter sp 638"
"Enterobacter sp FS01","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Enterobacter","Enterobacter sp FS01"
"Escherichia coli","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","Escherichia coli"
"Escherichia fergusonii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","Escherichia fergusonii"
"Escherichia marmotae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","Escherichia marmotae"
"Izhakiella capsodis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Izhakiella","Izhakiella capsodis"
"Klebsiella aerogenes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella aerogenes"
"Klebsiella michiganensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella michiganensis"
"Klebsiella oxytoca","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella oxytoca"
"Klebsiella pneumoniae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella pneumoniae"
"Klebsiella quasipneumoniae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella variicola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","Klebsiella variicola"
"Kosakonia cowanii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Kosakonia","Kosakonia cowanii"
"Leclercia adecarboxylata","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Leclercia","Leclercia adecarboxylata"
"Pluralibacter gergoviae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Pluralibacter","Pluralibacter gergoviae"
"Pseudocitrobacter faecalis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Pseudocitrobacter","Pseudocitrobacter faecalis"
"Raoultella ornithinolytica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Raoultella","Raoultella ornithinolytica"
"Raoultella planticola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Raoultella","Raoultella planticola"
"Salmonella enterica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella","Salmonella enterica"
"Siccibacter turicensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Siccibacter","Siccibacter turicensis"
"Erwinia gerundensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Erwinia","Erwinia gerundensis"
"Erwinia iniecta","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Erwinia","Erwinia iniecta"
"Erwinia persicina","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Erwinia","Erwinia persicina"
"Pantoea agglomerans","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea agglomerans"
"Pantoea allii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea allii"
"Pantoea ananatis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea ananatis"
"Pantoea anthophila","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea anthophila"
"Pantoea eucrina","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea eucrina"
"Pantoea vagans","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","Pantoea vagans"
"Hafnia paralvei","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Hafniaceae","g__Hafnia","Hafnia paralvei"
"Morganella morganii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Morganellaceae","g__Morganella","Morganella morganii"
"Proteus mirabilis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Morganellaceae","g__Proteus","Proteus mirabilis"
"Rahnella aquatilis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Rahnella","Rahnella aquatilis"
"Serratia fonticola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia","Serratia fonticola"
"Serratia liquefaciens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia","Serratia liquefaciens"
"Serratia marcescens","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia","Serratia marcescens"
"Serratia rubidaea","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia","Serratia rubidaea"
"Serratia ureilytica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia","Serratia ureilytica"
"Yersinia intermedia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Yersinia","Yersinia intermedia"
"Gammaproteobacteria bacterium HGW Gammaproteobacteria 15","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Gammaproteobacteria_unclassified","f__Gammaproteobacteria_unclassified","g__Gammaproteobacteria_unclassified","Gammaproteobacteria bacterium HGW Gammaproteobacteria 15"
"Coxiella burnetii","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__Coxiella","Coxiella burnetii"
"Methylocaldum marinum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylocaldum","Methylocaldum marinum"
"Alcanivorax dieselolei","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Alcanivoracaceae","g__Alcanivorax","Alcanivorax dieselolei"
"Alcanivorax pacificus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Alcanivoracaceae","g__Alcanivorax","Alcanivorax pacificus"
"Alcanivorax xenomutans","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Alcanivoracaceae","g__Alcanivorax","Alcanivorax xenomutans"
"Halomonas campaniensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","Halomonas campaniensis"
"Halomonas cupida","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","Halomonas cupida"
"Halomonas daqingensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","Halomonas daqingensis"
"Halomonas hydrothermalis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","Halomonas hydrothermalis"
"Kangiella spongicola","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Kangiellaceae","g__Kangiella","Kangiella spongicola"
"Actinobacillus suis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Actinobacillus","Actinobacillus suis"
"Bibersteinia trehalosi","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Bibersteinia","Bibersteinia trehalosi"
"Histophilus somni","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Histophilus","Histophilus somni"
"Mannheimia haemolytica","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Mannheimia","Mannheimia haemolytica"
"Mannheimia sp USDA ARS USMARC 1261","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Mannheimia","Mannheimia sp USDA ARS USMARC 1261"
"Mannheimia varigena","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Mannheimia","Mannheimia varigena"
"Pasteurella multocida","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Pasteurella","Pasteurella multocida"
