"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA1725","23614","4","Control","5/5/19",1,33838672,32964416,"2",30447803,"Farm B","Sample",-3,"-1",2516613,"USDA1725"
"USDA1728","23799","0","Case","5/6/19",0,27929242,27132795,"1",24740756,"Farm B","Sample",0,"-1",2392039,"USDA1728"
"USDA1729","8431","5","Control","5/25/19",-24,34349143,32959322,"2",6052052,"Farm D","Sample",-29,"-5",26907270,"USDA1729"
"USDA1730","1716","3","Case","5/7/19",-6,34569913,33647377,"2",28287934,"Farm D","Sample",-9,"-2",5359443,"USDA1730"
"USDA1731","8438","5","Control","5/5/19",-4,25844393,25022512,"2",128867,"Farm D","Sample",-9,"-2",24893645,"USDA1731"
"USDA1732","1751","10","Control","5/6/19",-5,30536597,29413297,"1",11150565,"Farm D","Sample",-15,"-3",18262732,"USDA1732"
"USDA1736","1714","7","Control","5/9/19",-8,38051458,36378763,"2",34677638,"Farm D","Sample",-15,"-3",1701125,"USDA1736"
"USDA1740","1760","7","Control","5/23/19",-22,24244285,23660525,"3",290898,"Farm D","Sample",-29,"-5",23369627,"USDA1740"
"USDA1743","23795","1","Control","5/5/19",1,36862971,36017136,"3",17243240,"Farm B","Sample",0,"-1",18773896,"USDA1743"
"USDA1744","23784","3","Control","5/17/19",-15,27940491,27345352,"1",1055723,"Farm B","Sample",-18,"-3",26289629,"USDA1744"
"USDA1748","23751","5","Control","5/15/19",-13,30715743,29891336,"2",28930681,"Farm B","Sample",-18,"-3",960655,"USDA1748"
"USDA1751","23445","8","Control","5/5/19",1,30355153,29633474,"3",24224274,"Farm B","Sample",-7,"-1",5409200,"USDA1751"
"USDA1753","1720","4","Case","4/1/19",3,21205785,20711508,"2",262574,"Farm D","Sample",-1,"-1",20448934,"USDA1753"
"USDA1754","8433","8","Control","3/28/19",7,18831284,18310456,"3",771695,"Farm D","Sample",-1,"-1",17538761,"USDA1754"
"USDA1755","1713","13","Case","3/16/19",-8,37778575,36029763,"2",35386706,"Farm D","Sample",-21,"-3",643057,"USDA1755"
"USDA1757","1730","2","Case","4/3/19",1,36449466,35683798,"3",28855383,"Farm D","Sample",-1,"-1",6828415,"USDA1757"
"USDA1758","1737","4","Control","4/14/19",-30,38037591,36967003,"1",2011418,"Farm D","Sample",-34,"-5",34955585,"USDA1758"
"USDA1759","1708","0","Case","3/15/19",0,34558518,33497139,"2",32033570,"Farm D","Sample",0,"-1",1463569,"USDA1759"
"USDA1761","1710","10","Case","4/5/19",-28,30895575,30252527,"1",2933766,"Farm D","Sample",-38,"-6",27318761,"USDA1761"
"USDA1762","1724","1","Case","3/28/19",-20,29859998,28039805,"1",7563634,"Farm D","Sample",-21,"-3",20476171,"USDA1762"
"USDA1763","8440","8","Control","3/28/19",7,24144373,23664229,"1",91951,"Farm D","Sample",-1,"-1",23572278,"USDA1763"
"USDA1771","23614","4","Control","5/5/19",-3,28831841,27919947,"1",1451353,"Farm B","Sample",-7,"-1",26468594,"USDA1771"
"USDA1772","24157","6","Case","5/7/19",-5,35650617,34882083,"3",17619435,"Farm B","Sample",-11,"-2",17262648,"USDA1772"
"USDA1776","23831","18","Control","5/9/19",-7,29658052,28884057,"2",27973783,"Farm B","Sample",-25,"-4",910274,"USDA1776"
"USDA1786","23795","1","Control","5/5/19",-3,28640747,28041411,"1",9725094,"Farm B","Sample",-4,"-1",18316317,"USDA1786"
"USDA1788","23915","25","Case","5/9/19",-7,37434211,36382853,"3",222532,"Farm B","Sample",-32,"-5",36160321,"USDA1788"
"USDA1789","23667","2","Control","5/4/19",-2,31736122,30924589,"3",9314329,"Farm B","Sample",-4,"-1",21610260,"USDA1789"
"USDA1790","23748","25","Control","5/9/19",-7,35543139,34688707,"3",32233969,"Farm B","Sample",-32,"-5",2454738,"USDA1790"
"USDA1793","23962","1","Case","5/12/19",-10,39525380,38585342,"1",26986959,"Farm B","Sample",-11,"-2",11598383,"USDA1793"
"USDA1795","23445","8","Control","5/5/19",-3,30593623,29746086,"2",19939938,"Farm B","Sample",-11,"-2",9806148,"USDA1795"
"USDA1799","23799","0","Case","5/6/19",-4,23152131,22665867,"1",1282190,"Farm B","Sample",-4,"-1",21383677,"USDA1799"
"USDA1804","23909","32","Case","6/1/19",-9,32794473,31922439,"2",28638315,"Farm B","Sample",-41,"-6",3284124,"USDA1804"
"USDA1807","23268","4","Case","5/16/19",-35,32698196,31926134,"1",1150949,"Farm B","Sample",-39,"-6",30775185,"USDA1807"
"USDA1814","23620","1","Case","5/15/19",-34,33841770,32774570,"1",916784,"Farm B","Sample",-35,"-5",31857786,"USDA1814"
"USDA1822","23962","1","Case","5/12/19",1,30827872,29701088,"2",23376407,"Farm B","Sample",0,"-1",6324681,"USDA1822"
"USDA1827","23792","5","Control","6/12/19",-30,25197864,24366807,"2",844714,"Farm B","Sample",-35,"-5",23522093,"USDA1827"
"USDA1834","23445","8","Control","5/5/19",8,34914613,33976792,"3",11225881,"Farm B","Sample",0,"-1",22750911,"USDA1834"
"USDA1840","93845","5","Case","9/18/19",-21,29047785,28232599,"1",14370359,"Farm A","Sample",-26,"-4",13862240,"USDA1840"
"USDA1846","87216","15","Case","10/3/19",-23,49402449,48525165,"1",10598463,"Farm A","Sample",-38,"-6",37926702,"USDA1846"
"USDA1848","84924","7","Case","9/28/19",-18,24084497,23623569,"1",337865,"Farm A","Sample",-25,"-4",23285704,"USDA1848"
"USDA1856","5845","25","Control","7/25/19",25,29978309,29331761,"1",8540615,"Farm A","Sample",0,"-1",20791146,"USDA1856"
"USDA1861","68923","7","Control","10/5/19",-25,26724011,26202774,"2",177867,"Farm A","Sample",-32,"-5",26024907,"USDA1861"
"USDA1864","94122","23","Control","10/14/19",-34,23952682,23372336,"1",3769696,"Farm A","Sample",-57,"≥ -7",19602640,"USDA1864"
"USDA1866","84901","11","Control","9/28/19",-18,15995675,15620638,"1",165699,"Farm A","Sample",-29,"-5",15454939,"USDA1866"
"USDA1890","94134","22","Control","9/6/19",-17,37430574,36282886,"3",1623284,"Farm A","Sample",-39,"-6",34659602,"USDA1890"
"USDA1893","35786","2","Control","8/3/19",-32,29223173,28348497,"1",4498644,"Farm A","Sample",-34,"-5",23849853,"USDA1893"
"USDA1894","84133","7","Control","8/2/19",-31,24794485,24182082,"3",1296270,"Farm A","Sample",-38,"-6",22885812,"USDA1894"
"USDA1910","23062","3","Control","5/24/19",-1,32466309,31550070,"1",30847718,"Farm B","Sample",-4,"-1",702352,"USDA1910"
"USDA1911","23760","18","Case","5/23/19",0,33752942,32983984,"1",5292208,"Farm B","Sample",-18,"-3",27691776,"USDA1911"
"USDA1912","23768","0","Case","5/27/19",-4,31501527,30663940,"3",14279818,"Farm B","Sample",-4,"-1",16384122,"USDA1912"
"USDA1916","23642","3","Control","5/31/19",-8,29073249,28392208,"1",5380680,"Farm B","Sample",-11,"-2",23011528,"USDA1916"
"USDA1919","23358","1","Control","5/29/19",-6,26999622,26393451,"3",525456,"Farm B","Sample",-7,"-1",25867995,"USDA1919"
"USDA1920","23980","1","Case","6/9/19",-17,32104754,31461608,"1",429523,"Farm B","Sample",-18,"-3",31032085,"USDA1920"
"USDA1923","23819","10","Control","5/31/19",-8,29818002,29129338,"2",378593,"Farm B","Sample",-18,"-3",28750745,"USDA1923"
"USDA1957","23701","2","Control","4/30/19",2,21774064,20775443,"1",15549963,"Farm B","Sample",0,"-1",5225480,"USDA1957"
"USDA1962","23614","4","Control","5/5/19",4,32670896,31961503,"2",18708771,"Farm B","Sample",0,"-1",13252732,"USDA1962"
"USDA1963","23748","25","Control","5/9/19",0,30277799,29584609,"3",28046201,"Farm B","Sample",-25,"-4",1538408,"USDA1963"
"USDA1966","23813","2","Case","5/11/19",-2,27205586,26325251,"2",6698584,"Farm B","Sample",-4,"-1",19626667,"USDA1966"
"USDA1967","23962","1","Case","5/12/19",-3,32119916,31256786,"3",23571184,"Farm B","Sample",-4,"-1",7685602,"USDA1967"
"USDA1973","5652","5","Control","11/3/19",5,31185250,30612294,"1",93471,"Farm C","Sample",0,"-1",30518823,"USDA1973"
"USDA1974","5844","12","Control","11/3/19",5,45180921,43030602,"2",2864109,"Farm C","Sample",-7,"-1",40166493,"USDA1974"
"USDA2005","23831","18","Control","5/9/19",0,38287010,37307277,"1",21000199,"Farm B","Sample",-18,"-3",16307078,"USDA2005"
"USDA2020","23748","25","Control","5/9/19",11,26922868,26285132,"2",4958747,"Farm B","Sample",-14,"-2",21326385,"USDA2020"
"USDA2023","23744","4","Control","5/23/19",-14,27586552,27070364,"1",679953,"Farm B","Sample",-18,"-3",26390411,"USDA2023"
"USDA2031","5658","15","Control","12/5/19",-28,28270312,27537562,"2",251532,"Farm C","Sample",-43,"≥ -7",27286030,"USDA2031"
"USDA2032","5420","16","Case","11/27/19",-20,25749238,25024033,"2",137872,"Farm C","Sample",-36,"-6",24886161,"USDA2032"
"USDA2051","5802","7","Control","11/20/19",-13,30832963,29353043,"2",115782,"Farm C","Sample",-20,"-3",29237261,"USDA2051"
"USDA2064","5635","2","Case","12/11/19",-34,27942447,27072729,"2",624544,"Farm C","Sample",-36,"-6",26448185,"USDA2064"
"USDA2065","23784","3","Control","5/17/19",-8,43992674,42583521,"2",1249620,"Farm B","Sample",-11,"-2",41333901,"USDA2065"
"USDA2067","23751","5","Control","5/15/19",-6,26803664,26159359,"2",25303568,"Farm B","Sample",-11,"-2",855791,"USDA2067"
"USDA2077","5420","16","Case","11/27/19",16,42558039,40872128,"2",257689,"Farm C","Sample",0,"-1",40614439,"USDA2077"
"USDA2079","5658","15","Control","12/5/19",8,32934305,32103942,"3",12703311,"Farm C","Sample",-7,"-1",19400631,"USDA2079"
"USDA2091","5382","8","Case","12/5/19",8,25749357,24507553,"2",1211360,"Farm C","Sample",0,"-1",23296193,"USDA2091"
"USDA2125","23915","25","Case","5/9/19",0,39781810,38726172,"1",27539623,"Farm B","Sample",-25,"-4",11186549,"USDA2125"
"USDA2126","23456","1","Case","5/22/19",-13,28107528,27490235,"1",15485963,"Farm B","Sample",-14,"-2",12004272,"USDA2126"
"USDA2127","23268","4","Case","5/16/19",-7,29014688,28386564,"3",570830,"Farm B","Sample",-11,"-2",27815734,"USDA2127"
"USDA2129","23577","4","Case","5/30/19",-21,30306602,29596863,"3",1338997,"Farm B","Sample",-25,"-4",28257866,"USDA2129"
"USDA2132","23831","18","Control","5/9/19",11,28741114,28230612,"2",7081865,"Farm B","Sample",-7,"-1",21148747,"USDA2132"
"USDA2133","23277","29","Control","4/28/19",22,31254691,30443331,"1",2240685,"Farm B","Sample",-7,"-1",28202646,"USDA2133"
"USDA2137","5635","2","Case","12/11/19",2,29376538,28636174,"2",7875736,"Farm C","Sample",0,"-1",20760438,"USDA2137"
"USDA2146","5386","1","Case","10/10/19",1,20614096,20081241,"1",92541,"Farm C","Sample",0,"-1",19988700,"USDA2146"
"USDA2176","5527","7","Case","10/4/19",7,42336300,41450574,"2",442308,"Farm C","Sample",0,"-1",41008266,"USDA2176"
"USDA2184","5460","3","Control","10/8/19",3,29170919,28447305,"3",168674,"Farm C","Sample",0,"-1",28278631,"USDA2184"
"USDA2185","24049","0","Case","5/27/19",-18,29629688,28349247,"2",13080965,"Farm B","Sample",-18,"-3",15268282,"USDA2185"
"USDA2186","23877","7","Case","5/20/19",-11,42776,35750,"3",6030,"Farm B","Sample",-18,"-3",29720,"USDA2186"
"USDA2187","23620","1","Case","5/15/19",-6,23274440,22547345,"2",4560125,"Farm B","Sample",-7,"-1",17987220,"USDA2187"
"USDA2188","23062","3","Control","5/24/19",-15,33977791,33202685,"3",9364045,"Farm B","Sample",-18,"-3",23838640,"USDA2188"
"USDA2189","23760","18","Case","5/23/19",-14,24476388,23534305,"2",4444516,"Farm B","Sample",-32,"-5",19089789,"USDA2189"
"USDA2191","23277","29","Control","4/28/19",-17,36643770,35573860,"1",1013755,"Farm B","Sample",-46,"≥ -7",34560105,"USDA2191"
"USDA2193","23730","6","Control","4/13/19",-2,41339463,40561202,"1",7620471,"Farm B","Sample",-8,"-2",32940731,"USDA2193"
"USDA2204","23730","6","Control","4/13/19",-23,25609085,25014338,"2",201477,"Farm B","Sample",-29,"-5",24812861,"USDA2204"
"USDA2205","23345","4","Case","4/15/19",-25,32842636,31977250,"2",20042154,"Farm B","Sample",-29,"-5",11935096,"USDA2205"
"USDA2206","23724","16","Case","4/9/19",-19,26105122,25444115,"3",5154697,"Farm B","Sample",-35,"-5",20289418,"USDA2206"
"USDA2207","23025","1","Control","4/3/19",-13,35501324,34763717,"3",6865449,"Farm B","Sample",-14,"-2",27898268,"USDA2207"
"USDA2208","23043","6","Control","4/23/19",-33,26595680,26074234,"1",6576668,"Farm B","Sample",-39,"-6",19497566,"USDA2208"
"USDA2210","23915","25","Case","5/9/19",4,26523165,25993018,"1",3577917,"Farm B","Sample",-21,"-3",22415101,"USDA2210"
"USDA2214","23144","3","Control","4/26/19",-22,38604442,37616268,"3",7827268,"Farm B","Sample",-25,"-4",29789000,"USDA2214"
"USDA2221","23043","6","Control","4/23/19",-12,36076366,35416293,"1",637672,"Farm B","Sample",-18,"-3",34778621,"USDA2221"
"USDA2222","23345","4","Case","4/15/19",-4,35340271,34611707,"1",8360000,"Farm B","Sample",-8,"-2",26251707,"USDA2222"
"USDA2223","23724","16","Case","4/9/19",2,26803502,26280154,"1",496363,"Farm B","Sample",-14,"-2",25783791,"USDA2223"
"USDA2225","23915","25","Case","5/9/19",11,31775892,31034422,"3",1024185,"Farm B","Sample",-14,"-2",30010237,"USDA2225"
"USDA2228","23768","0","Case","5/27/19",-18,25844413,25182796,"2",8763461,"Farm B","Sample",-18,"-3",16419335,"USDA2228"
"USDA2231","23979","1","Control","5/29/19",-20,46009224,44213201,"2",2629053,"Farm B","Sample",-21,"-3",41584148,"USDA2231"
"USDA2241","23787","4","Case","4/19/19",-29,29936648,29353688,"3",155440,"Farm B","Sample",-33,"-5",29198248,"USDA2241"
"USDA2244","23754","5","Case","4/13/19",-23,36955159,35908049,"2",2857372,"Farm B","Sample",-28,"-4",33050677,"USDA2244"
"USDA2252","5439","9","Control","11/18/19",-11,27843513,27268273,"2",160130,"Farm C","Sample",-20,"-3",27108143,"USDA2252"
"USDA2256","5382","8","Case","12/5/19",-28,26660937,26089454,"1",127324,"Farm C","Sample",-36,"-6",25962130,"USDA2256"
"USDA2258","5718","2","Control","11/25/19",-18,33416165,32085946,"2",162093,"Farm C","Sample",-20,"-3",31923853,"USDA2258"
"USDA2271","83657","8","Case","8/1/19",-30,26202190,25376898,"1",2769068,"Farm A","Sample",-38,"-6",22607830,"USDA2271"
"USDA2283","5049","12","Case","10/20/19",-24,43242156,41560667,"2",1281215,"Farm C","Sample",-36,"-6",40279452,"USDA2283"
"USDA2302","5386","1","Case","10/10/19",-14,43064612,41543893,"3",8327507,"Farm C","Sample",-15,"-3",33216386,"USDA2302"
"USDA2304","5541","4","Control","10/28/19",-32,32736026,31362436,"1",1731758,"Farm C","Sample",-36,"-6",29630678,"USDA2304"
"USDA2316","5527","7","Case","10/4/19",-8,46335422,45401253,"2",337443,"Farm C","Sample",-15,"-3",45063810,"USDA2316"
"USDA2317","5537","3","Case","10/22/19",-26,25080794,24549924,"2",103455,"Farm C","Sample",-29,"-5",24446469,"USDA2317"
"USDA2339","5718","2","Control","11/25/19",-18,27614559,27023595,"2",383845,"Farm C","Sample",-20,"-3",26639750,"USDA2339"
"USDA2346","5658","15","Control","12/5/19",15,24877327,24285999,"1",2892095,"Farm C","Sample",0,"-1",21393904,"USDA2346"
"USDA2363","5460","3","Control","10/8/19",-12,44348336,43088953,"3",5999580,"Farm C","Sample",-15,"-3",37089373,"USDA2363"
"USDA2365","5844","12","Control","11/3/19",-17,36175617,35239563,"3",6332135,"Farm C","Sample",-29,"-5",28907428,"USDA2365"
"USDA2369","5802","7","Control","11/20/19",-34,26423757,25795633,"3",90362,"Farm C","Sample",-41,"-6",25705271,"USDA2369"
"USDA2400","5049","12","Case","10/20/19",-3,26735812,26084507,"3",4156684,"Farm C","Sample",-15,"-3",21927823,"USDA2400"
"USDA2405","5652","5","Control","11/3/19",-17,30415520,29610048,"3",832865,"Farm C","Sample",-22,"-4",28777183,"USDA2405"
"USDA2422","5541","4","Control","10/28/19",-11,29048210,28426286,"2",309442,"Farm C","Sample",-15,"-3",28116844,"USDA2422"
"USDA2437","5635","2","Case","12/11/19",-14,35112880,34302910,"3",16639693,"Farm C","Sample",-16,"-3",17663217,"USDA2437"
"USDA2442","5658","15","Control","12/5/19",-8,37812862,36826777,"2",4538752,"Farm C","Sample",-23,"-4",32288025,"USDA2442"
"USDA2458","5505","1","Case","9/26/19",0,21271923,20678453,"2",235985,"Farm C","Sample",-1,"-1",20442468,"USDA2458"
"USDA2470","5537","3","Case","10/22/19",-5,29317511,28641564,"1",5075697,"Farm C","Sample",-8,"-2",23565867,"USDA2470"
"USDA2498","5541","4","Control","10/28/19",4,39841586,38817884,"1",12961124,"Farm C","Sample",0,"-1",25856760,"USDA2498"
"USDA2504","5049","12","Case","10/20/19",12,40327469,39033428,"2",1539166,"Farm C","Sample",0,"-1",37494262,"USDA2504"
"USDA2510","5420","16","Case","11/27/19",0,34948957,33072656,"1",4093095,"Farm C","Sample",-16,"-3",28979561,"USDA2510"
"USDA2517","5382","8","Case","12/5/19",-8,33435699,32517121,"1",20881098,"Farm C","Sample",-16,"-3",11636023,"USDA2517"
"USDA2533","23111","2","Case","5/25/19",-23,33156538,32392218,"3",25779811,"Farm B","Sample",-25,"-4",6612407,"USDA2533"
"USDA2535","23819","10","Control","5/31/19",-29,36519760,35447144,"2",808777,"Farm B","Sample",-39,"-6",34638367,"USDA2535"
"USDA2536","23357","0","Case","6/3/19",-32,33800741,32504245,"1",8542863,"Farm B","Sample",-32,"-5",23961382,"USDA2536"
"USDA2538","24236","2","Control","6/4/19",-33,35248657,34612673,"1",2057833,"Farm B","Sample",-35,"-5",32554840,"USDA2538"
"USDA2540","23620","1","Case","5/15/19",-13,34663902,33903899,"3",2147459,"Farm B","Sample",-14,"-2",31756440,"USDA2540"
"USDA2541","23586","1","Case","5/29/19",-27,33519679,32852933,"1",1750704,"Farm B","Sample",-28,"-4",31102229,"USDA2541"
"USDA2543","23909","32","Case","6/1/19",-30,31576734,29823224,"2",2341843,"Farm B","Sample",-62,"≥ -7",27481381,"USDA2543"
"USDA2586","5420","16","Case","11/27/19",8,22980857,22339108,"2",572350,"Farm C","Sample",-8,"-2",21766758,"USDA2586"
"USDA2609","5658","15","Control","12/5/19",-14,29126527,28585191,"1",3813560,"Farm C","Sample",-29,"-5",24771631,"USDA2609"
"USDA2620","5845","25","Control","7/25/19",-23,30929177,29006767,"2",9629765,"Farm A","Sample",-48,"≥ -7",19377002,"USDA2620"
"USDA2624","68481","4","Case","8/11/19",-33,32934605,31950735,"1",9292566,"Farm A","Sample",-37,"-6",22658169,"USDA2624"
"USDA2627","5798","6","Case","8/9/19",-31,31997264,31130267,"3",13370456,"Farm A","Sample",-37,"-6",17759811,"USDA2627"
"USDA2629","84156","6","Control","7/30/19",-14,32721662,31758986,"1",16751810,"Farm A","Sample",-20,"-3",15007176,"USDA2629"
"USDA2636","87221","19","Control","8/26/19",-6,37476284,36431095,"3",30197490,"Farm A","Sample",-25,"-4",6233605,"USDA2636"
"USDA2648","84156","6","Control","7/30/19",-28,45046270,41856669,"2",22133481,"Farm A","Sample",-34,"-5",19723188,"USDA2648"
"USDA2649","93514","25","Case","8/1/19",-30,38560602,37675343,"2",5051186,"Farm A","Sample",-55,"≥ -7",32624157,"USDA2649"
"USDA2651","5814","7","Control","8/2/19",-31,29942436,29351748,"1",2791742,"Farm A","Sample",-38,"-6",26560006,"USDA2651"
"USDA2657","8431","5","Control","5/25/19",5,24125243,23480056,"1",6491143,"Farm D","Sample",0,"-1",16988913,"USDA2657"
"USDA2659","1760","7","Control","5/23/19",7,45642215,44776350,"1",55564,"Farm D","Sample",0,"-1",44720786,"USDA2659"
"USDA2665","1703","0","Control","3/29/19",-35,37678945,36704732,"3",6126762,"Farm D","Sample",-35,"-5",30577970,"USDA2665"
"USDA2671","1736","14","Control","3/22/19",-28,37987052,36939137,"1",35640402,"Farm D","Sample",-42,"-6",1298735,"USDA2671"
"USDA2679","84956","17","Case","9/17/19",-28,32841411,31835188,"3",26643831,"Farm A","Sample",-45,"≥ -7",5191357,"USDA2679"
"USDA2688","84771","5","Control","8/10/19",-32,25531302,24953272,"2",317842,"Farm A","Sample",-37,"-6",24635430,"USDA2688"
"USDA2706","83657","8","Case","8/1/19",-16,37515908,36516914,"2",27391207,"Farm A","Sample",-24,"-4",9125707,"USDA2706"
"USDA2707","84697","4","Case","8/5/19",4,30065338,29156987,"1",18034107,"Farm A","Sample",0,"-1",11122880,"USDA2707"
"USDA2710","93514","25","Case","8/1/19",8,25948249,25410648,"1",3354927,"Farm A","Sample",-17,"-3",22055721,"USDA2710"
"USDA2711","5814","7","Control","8/2/19",7,26667368,25894571,"1",16973640,"Farm A","Sample",0,"-1",8920931,"USDA2711"
"USDA2720","5845","25","Control","7/25/19",7,41501968,38407271,"2",7178964,"Farm A","Sample",-18,"-3",31228307,"USDA2720"
"USDA2723","84133","7","Control","8/2/19",7,38401203,36659375,"3",9028862,"Farm A","Sample",0,"-1",27630513,"USDA2723"
"USDA2724","83657","8","Case","8/1/19",8,26163396,25520524,"1",8237905,"Farm A","Sample",0,"-1",17282619,"USDA2724"
"USDA2726","35786","2","Control","8/3/19",2,43636662,42542205,"3",26245592,"Farm A","Sample",0,"-1",16296613,"USDA2726"
"USDA2728","5845","25","Control","7/25/19",11,34234724,33082580,"1",14562404,"Farm A","Sample",-14,"-2",18520176,"USDA2728"
"USDA2730","84156","6","Control","7/30/19",6,29136700,28302734,"1",6037031,"Farm A","Sample",0,"-1",22265703,"USDA2730"
"USDA2734","84133","7","Control","8/2/19",-17,35084991,34194597,"3",2499731,"Farm A","Sample",-24,"-4",31694866,"USDA2734"
"USDA2736","5845","25","Control","7/25/19",-9,24847709,24172951,"1",5875295,"Farm A","Sample",-34,"-5",18297656,"USDA2736"
"USDA2751","5845","25","Control","7/25/19",18,26536872,26034803,"1",3304575,"Farm A","Sample",-7,"-1",22730228,"USDA2751"
"USDA2756","84446","7","Case","8/16/19",-31,30719423,29851519,"2",27454200,"Farm A","Sample",-38,"-6",2397319,"USDA2756"
"USDA2762","5431","13","Case","9/21/19",-9,26633652,25784629,"2",22784244,"Farm C","Sample",-22,"-4",3000385,"USDA2762"
"USDA2764","5527","7","Case","10/4/19",-22,29453948,28715753,"3",4320602,"Farm C","Sample",-29,"-5",24395151,"USDA2764"
"USDA2769","23277","29","Control","4/28/19",15,29248133,28521830,"2",2750778,"Farm B","Sample",-14,"-2",25771052,"USDA2769"
"USDA2776","24157","6","Case","5/7/19",6,43096583,40448318,"1",21314548,"Farm B","Sample",0,"-1",19133770,"USDA2776"
"USDA2778","23813","2","Case","5/11/19",2,28809320,28064755,"2",14719292,"Farm B","Sample",0,"-1",13345463,"USDA2778"
"USDA2797","5802","7","Control","11/20/19",2,31802225,30947911,"3",588153,"Farm C","Sample",-5,"-1",30359758,"USDA2797"
"USDA2805","5505","1","Case","9/26/19",-14,39612521,38555388,"1",4602782,"Farm C","Sample",-15,"-3",33952606,"USDA2805"
"USDA2808","5460","3","Control","10/8/19",-26,41438992,40396274,"1",4532644,"Farm C","Sample",-29,"-5",35863630,"USDA2808"
"USDA2817","23100","11","Control","5/30/19",4,25355857,24713196,"3",7641326,"Farm B","Sample",-7,"-1",17071870,"USDA2817"
"USDA2821","23357","0","Case","6/3/19",0,37767450,36013215,"2",30050115,"Farm B","Sample",0,"-1",5963100,"USDA2821"
"USDA2822","23917","1","Case","6/2/19",1,26349612,25295564,"2",18841311,"Farm B","Sample",0,"-1",6454253,"USDA2822"
"USDA2836","93514","25","Case","8/1/19",11,25322510,24796636,"1",7198476,"Farm A","Sample",-14,"-2",17598160,"USDA2836"
"USDA2840","69116","7","Case","8/30/19",-24,28694713,28014515,"1",2858983,"Farm A","Sample",-31,"-5",25155532,"USDA2840"
"USDA2842","84771","5","Control","8/10/19",-4,23860848,23390524,"1",1747506,"Farm A","Sample",-9,"-2",21643018,"USDA2842"
"USDA2852","5814","7","Control","8/2/19",-17,34492894,32889584,"2",1753938,"Farm A","Sample",-24,"-4",31135646,"USDA2852"
"USDA2853","35786","2","Control","8/3/19",-18,23866442,22984946,"2",6587385,"Farm A","Sample",-20,"-3",16397561,"USDA2853"
"USDA2864","5573","1","Control","9/26/19",-14,33977820,32648930,"2",645780,"Farm C","Sample",-15,"-3",32003150,"USDA2864"
"USDA2871","68688","13","Case","8/31/19",-25,27795638,27075647,"2",17079816,"Farm A","Sample",-38,"-6",9995831,"USDA2871"
"USDA2875","5798","6","Case","8/9/19",-3,24519204,23669520,"2",4013954,"Farm A","Sample",-9,"-2",19655566,"USDA2875"
"USDA2888","23980","1","Case","6/9/19",-3,25833728,25252446,"3",220822,"Farm B","Sample",-4,"-1",25031624,"USDA2888"
"USDA2892","23792","5","Control","6/12/19",-6,21051586,20206038,"2",255443,"Farm B","Sample",-11,"-2",19950595,"USDA2892"
"USDA2893","24012","2","Control","6/11/19",-5,25788776,25171597,"3",3674813,"Farm B","Sample",-7,"-1",21496784,"USDA2893"
"USDA2895","23883","0","Control","6/10/19",-4,29278858,28695049,"2",248712,"Farm B","Sample",-4,"-1",28446337,"USDA2895"
"USDA2902","23748","25","Control","5/9/19",25,28982804,27944032,"2",5781154,"Farm B","Sample",0,"-1",22162878,"USDA2902"
"USDA2912","23577","4","Case","5/30/19",4,34772882,33351022,"1",28862185,"Farm B","Sample",0,"-1",4488837,"USDA2912"
"USDA2913","23909","32","Case","6/1/19",2,31620185,30742822,"2",28458921,"Farm B","Sample",-30,"-5",2283901,"USDA2913"
"USDA2922","5541","4","Control","10/28/19",-24,24832639,24165543,"2",112783,"Farm C","Sample",-28,"-4",24052760,"USDA2922"
"USDA2932","23831","18","Control","5/9/19",4,25821011,25259220,"1",15050290,"Farm B","Sample",-14,"-2",10208930,"USDA2932"
"USDA2933","23748","25","Control","5/9/19",4,27961802,27208766,"2",23532478,"Farm B","Sample",-21,"-3",3676288,"USDA2933"
"USDA2951","23883","0","Control","6/10/19",0,34180611,33477674,"1",18467663,"Farm B","Sample",0,"-1",15010011,"USDA2951"
"USDA2977","5537","3","Case","10/22/19",-12,25556462,24690477,"1",4000459,"Farm C","Sample",-15,"-3",20690018,"USDA2977"
"USDA2989","5537","3","Case","10/22/19",-18,30085245,29461715,"1",167463,"Farm C","Sample",-21,"-3",29294252,"USDA2989"
"USDA2997","5844","12","Control","11/3/19",-24,25882241,25295131,"3",1094945,"Farm C","Sample",-36,"-6",24200186,"USDA2997"
"USDA3005","5460","3","Control","10/8/19",-4,31462795,30583147,"1",352421,"Farm C","Sample",-7,"-1",30230726,"USDA3005"
"USDA3009","5652","5","Control","11/3/19",-24,39547982,38643804,"1",1063220,"Farm C","Sample",-29,"-5",37580584,"USDA3009"
"USDA3057","5386","1","Case","10/10/19",0,52282014,49810486,"1",4168788,"Farm C","Sample",-1,"-1",45641698,"USDA3057"
"USDA3079","5541","4","Control","10/28/19",-18,29925733,29402255,"1",139686,"Farm C","Sample",-22,"-4",29262569,"USDA3079"
"USDA3092","23792","5","Control","6/12/19",5,30023549,29175996,"1",3415572,"Farm B","Sample",0,"-1",25760424,"USDA3092"
"USDA3097","23980","1","Case","6/9/19",1,31250298,30382347,"2",28659215,"Farm B","Sample",0,"-1",1723132,"USDA3097"
