"","CowId","DIM_Target","CaseOrControl","Calving","DIM","ReadCountRaw","ReadCountTrim","Batch","ReadCountHost","FarmId","SampleType","DaysToInfection","WeeksToInfection","ReadCountNonHost","SampleId"
"USDA459","1737","4","Control","4/14/19",-9,35268104,34111488,"1",1103363,"Farm D","Sample",-13,"-2",33008125,"USDA459"
"USDA460","1735","3","Control","4/28/19",-23,37830322,36577311,"2",2910250,"Farm D","Sample",-26,"-4",33667061,"USDA460"
"USDA462","1749","9","Control","4/6/19",-1,33258973,32521774,"3",1342590,"Farm D","Sample",-10,"-2",31179184,"USDA462"
"USDA463","1754","2","Case","4/30/19",-25,33485971,32609246,"2",31795352,"Farm D","Sample",-27,"-4",813894,"USDA463"
"USDA465","8441","9","Case","4/6/19",-1,33881347,33125820,"3",12040856,"Farm D","Sample",-10,"-2",21084964,"USDA465"
"USDA466","1701","6","Control","4/9/19",-4,27896780,26970933,"2",1297779,"Farm D","Sample",-10,"-2",25673154,"USDA466"
"USDA467","8429","5","Control","4/10/19",-5,30646554,29947015,"1",138412,"Farm D","Sample",-10,"-2",29808603,"USDA467"
"USDA470","8440","8","Control","3/28/19",-13,29221418,28427843,"2",7434143,"Farm D","Sample",-21,"-3",20993700,"USDA470"
"USDA471","1737","4","Control","4/14/19",-30,26080579,24761601,"2",2520677,"Farm D","Sample",-34,"-5",22240924,"USDA471"
"USDA472","8441","9","Case","4/6/19",-22,26031939,25377896,"2",1608310,"Farm D","Sample",-31,"-5",23769586,"USDA472"
"USDA475","1727","4","Case","4/1/19",-17,36453209,34443609,"1",16254667,"Farm D","Sample",-21,"-3",18188942,"USDA475"
"USDA476","1702","6","Case","3/30/19",-15,32746024,32064437,"1",16961639,"Farm D","Sample",-21,"-3",15102798,"USDA476"
"USDA477","1736","14","Control","3/22/19",-7,35087734,34429376,"1",6025997,"Farm D","Sample",-21,"-3",28403379,"USDA477"
"USDA478","1730","2","Case","4/3/19",-19,39176353,38334554,"3",27083434,"Farm D","Sample",-21,"-3",11251120,"USDA478"
"USDA479","8429","5","Control","4/10/19",-26,36644028,35796480,"3",1435801,"Farm D","Sample",-31,"-5",34360679,"USDA479"
"USDA481","8429","5","Control","4/10/19",-12,26763662,26175567,"2",2577982,"Farm D","Sample",-17,"-3",23597585,"USDA481"
"USDA483","1730","2","Case","4/3/19",-5,35983964,34534276,"2",19709568,"Farm D","Sample",-7,"-1",14824708,"USDA483"
"USDA485","1702","6","Case","3/30/19",-1,37404466,36583670,"3",32736050,"Farm D","Sample",-7,"-1",3847620,"USDA485"
"USDA487","1719","1","Case","4/4/19",-6,35515553,34772916,"1",10899595,"Farm D","Sample",-7,"-1",23873321,"USDA487"
"USDA488","1742","2","Control","4/3/19",-5,28759165,28171022,"1",2943154,"Farm D","Sample",-7,"-1",25227868,"USDA488"
"USDA489","1705","4","Control","4/1/19",-17,28600102,27973751,"3",16932868,"Farm D","Sample",-21,"-3",11040883,"USDA489"
"USDA490","1701","6","Control","4/9/19",-25,28202160,27636546,"1",3307930,"Farm D","Sample",-31,"-5",24328616,"USDA490"
"USDA491","1710","10","Case","4/5/19",-21,33705851,33036271,"1",1884602,"Farm D","Sample",-31,"-5",31151669,"USDA491"
"USDA492","1747","3","Control","4/15/19",-31,29189655,28423671,"1",4035309,"Farm D","Sample",-34,"-5",24388362,"USDA492"
"USDA494","1732","10","Case","4/5/19",-21,34014103,32999018,"2",31177917,"Farm D","Sample",-31,"-5",1821101,"USDA494"
"USDA505","23792","5","Control","6/12/19",-13,41573203,39505960,"2",515268,"Farm B","Sample",-18,"-3",38990692,"USDA505"
"USDA507","23577","4","Case","5/30/19",0,33422893,32638818,"1",30580911,"Farm B","Sample",-4,"-1",2057907,"USDA507"
