ID,Original_ID,Animal,Sample_ID,Time,Treatment,PCR,Culture,Serogroup,Reads,Paired_reads,phred,Batch,Run,Lane,Group_cat,Group,NumTime,human_contaminant_reads,GG_16S_counts,mem_GG16S_counts,Trimmed_paired_reads,Non_host_paired_reads,Unclassified_read_percentage,AMR_raw_hits,AMR_CSS_hits,AMR_raw_bnorm,kraken_sum,AMR_class_Richness,AMR_class_Shannon,AMR_mech_Richness,AMR_mech_Shannon,kraken_phylum_Richness,kraken_phylum_Shannon,kraken_class_Richness,kraken_class_Shannon,kraken_order_Richness,kraken_order_Shannon,kraken_family_Richness,kraken_family_Shannon,kraken_genus_Richness,kraken_genus_Shannon,kraken_species_Richness,kraken_species_Shannon,kraken_domain_Richness,kraken_domain_Shannon,Senterica_counts_custom_filtered,Senterica_counts_std_filter,Senterica_counts_std,Senterica_counts_custom
11p2_GATCAG_L001,11p2,1,31,Day11,Treated,0,0,neg,59339612,29669806,35.07,11,1,1,3,Day11-Treated,2,859610,93148,91388,28389347,23895589,96.1,45733,12966.5438049334,0.4401988889,3237473,5,0.7619829184,13,0.9510688404,38,1.58081102,74,2.2966302176,168,2.8094727624,371,3.8815657492,1113,4.5414380407,3486,5.8718765081,3,0.0641469125,2,2,710,623
37p2_TAGCTT_L001,37p2,2,32,Day11,Treated,0,0,neg,105228524,52614262,35.08,11,1,1,3,Day11-Treated,2,492259,147556,175785,50404105,41138842,96.03,91350,30106.0606060606,0.603148617,3085320,5,1.0546755427,10,1.3342033872,38,1.6088814073,74,2.3930290515,167,3.0306535572,367,4.3521425061,1129,5.2326272267,3578,6.4895964783,3,0.0849817867,0,0,662,630
51p2_GGCTAC_L002,51p2,3,33,Day11,Treated,0,0,neg,93142834,46571417,34.8,12,1,2,3,Day11-Treated,2,749312,146838,152478,44048799,38220147,96.14,86536,62345.8213256484,0.5442201016,1647468,7,0.9593406605,18,1.2288784303,37,1.5772102671,74,2.3500246833,167,2.9555705646,367,4.2913425855,1119,5.16748275,3525,6.4603823027,3,0.0747371293,0,1,862,756
62p2_CTTGTA_L002,62p2,4,34,Day11,Treated,0,0,neg,94282748,47141374,35.01,12,1,2,3,Day11-Treated,2,890523,129542,192628,44778876,37172830,94.31,89485,33336.4451082898,0.6715565173,3119388,7,1.1376624052,18,1.5220277308,37,1.5623955987,74,2.2725880698,167,2.766930629,369,3.9639126804,1122,4.758257658,3568,6.231079462,3,0.0787531132,9,11,1128,1004
83p2_AGTCAA_L002,83p2,5,35,Day11,Treated,0,0,neg,131096698,65548349,35.05,12,1,2,3,Day11-Treated,2,3609510,155511,274900,62394918,39853404,95.32,89712,37533.0267558528,0.5392340075,2370012,5,0.7650365705,11,1.1151330087,37,1.5730133444,74,2.2948387565,167,2.8409765673,365,4.1333247968,1110,4.939959197,3517,6.304121571,3,0.0916542205,0,0,732,745
84p2_AGTTCC_L003,84p2,6,36,Day11,Treated,0,0,neg,68886876,34443438,35.02,13,1,3,3,Day11-Treated,2,1040878,82284,88023,32743305,26206629,96.76,60157,7844.1778589125,0.6669376873,3744889,4,0.9041528158,7,1.102812144,38,1.5959346636,74,2.3639864655,167,2.9088535036,372,4.2613747728,1136,5.1017056757,3601,6.4492619341,3,0.1249077983,0,0,458,388
92p2_ATCACG_L003,92p2,7,37,Day11,Treated,0,0,neg,133564132,66782066,35.15,13,1,3,3,Day11-Treated,2,988093,189446,318031,64222092,51185393,94.97,90755,31776.9607843137,0.4460277796,1158742,5,0.8351814861,9,1.0837262544,37,1.6242658941,74,2.343116423,166,2.8787424903,363,4.1362905545,1108,4.9680269987,3467,6.2738581059,3,0.200702271,0,0,995,1118
93p2_TTAGGC_L004,93p2,8,38,Day11,Treated,0,0,neg,96696192,48348096,35.69,14,1,4,3,Day11-Treated,2,2620554,142964,194302,47031397,37799483,95.54,84776,19624.0740740741,0.5549692567,2716343,4,0.9007851167,9,1.2086943706,38,1.5631700087,74,2.3159607042,168,2.8443275316,366,3.9580663928,1110,4.6802147777,3471,5.7342985105,3,0.073334883,0,0,714,714
102p2_TGACCA_L004,102p2,9,39,Day11,Treated,0,0,neg,61340400,30670200,35.52,14,1,4,3,Day11-Treated,2,363903,145182,176832,29448145,23908771,95.32,29527,12699.7849462366,0.1774821028,2369338,4,0.599100453,8,0.731268761,36,1.5757419738,74,2.303501314,167,2.8716169311,371,3.9907478879,1124,4.981486823,3543,6.2039924922,3,0.0760631145,0,1,630,530
103p2_ACTGAT_L004,103p2,10,40,Day11,Treated,0,0,neg,76148438,38074219,35.71,14,1,4,3,Day11-Treated,2,625056,135419,180098,37083085,31243539,96.2,66204,13112.2994652406,0.436394647,2219401,5,0.8010575735,10,0.9948843655,38,1.583385713,73,2.2415793889,167,2.9229171492,367,4.047396277,1107,4.7990348991,3473,5.8402058932,3,0.0714531195,0,0,611,497
130p2_ATTCCT_L005,130p2,11,41,Day11,Treated,0,0,neg,123995022,61997511,35.47,15,1,5,3,Day11-Treated,2,1054450,202677,348893,60214244,48740862,95.75,110724,27343.6188595409,0.4959303804,4057605,4,0.7741417796,8,0.9733393439,37,1.3699015929,74,1.8794592881,167,2.2375666794,365,3.1819748328,1103,3.8098546179,3473,5.0575404755,3,0.0597483796,0,0,933,811
155p2_GTGGCC_L005,155p2,12,42,Day11,Treated,0,0,neg,59478802,29739401,35.48,15,1,5,3,Day11-Treated,2,628538,122019,244276,28764726,18320679,95.97,29813,10150.8341845421,0.2173487162,2928288,4,0.8462569078,7,0.9756436585,37,1.5709003875,73,2.2433380429,168,2.8941813653,366,3.9260602365,1124,4.8022777973,3527,5.8104524656,3,0.0936208674,0,0,392,390
156p2_GTTTCG_L006,156p2,13,43,Day11,Treated,1,1,C1,99951180,49975590,35.52,16,1,6,3,Day11-Treated,2,858144,148121,186956,48532827,35376729,96.34,71000,51021.5208034433,0.4455954895,2290594,7,0.8393841977,17,1.0977127269,36,1.5994077277,74,2.3812673015,167,2.9489286772,368,4.273477554,1121,5.1005620528,3562,6.4539770722,3,0.1001003891,0,188,970,756
158p2_CGTACG_L006,158p2,14,44,Day11,Treated,0,0,neg,160710294,80355147,35.08,16,1,6,3,Day11-Treated,2,1549138,253920,303401,76323857,68065491,95.67,132644,77156.4863292612,0.475187992,3965980,7,0.8162859196,14,1.0641508502,38,1.5968764396,73,2.2580161634,169,2.8271951116,370,3.9324505513,1127,4.6328694794,3557,5.7750118164,3,0.0543171223,6,7,1471,1607
164p2_GAGTGG_L006,164p2,15,45,Day11,Treated,0,0,neg,53647106,26823553,35,16,1,6,3,Day11-Treated,2,491794,75346,101079,25322716,22311700,96.77,44098,11215.1576805697,0.3240345275,3096126,7,1.0638816556,16,1.4490678626,36,1.5702653315,74,2.3005990441,168,2.838978921,369,3.988771761,1127,4.8985107067,3568,6.2290740202,3,0.1259390351,0,0,408,442
208p2_TAGCTT_L007,208p2,16,46,Day11,Untreated,0,0,neg,122572848,61286424,35.73,17,1,7,4,Day11-Untreated,2,722490,197609,230125,59749182,48543446,96.09,94673,31533.1335331335,0.4389386037,3268122,6,0.8289015229,13,1.1093231596,38,1.5590819698,73,2.2372493844,168,2.8711950073,366,4.1289388965,1120,4.9438552472,3518,6.1324434914,3,0.1014613953,0,0,1260,840
216p2_GGCTAC_L007,216p2,17,47,Day11,Untreated,0,0,neg,85373184,42686592,35.46,17,1,7,4,Day11-Untreated,2,519312,144781,139064,41214734,36314805,95.5,75602,56715.6789197299,0.4690431979,1421234,7,0.7825516704,18,1.0538341935,37,1.5355191597,74,2.327006897,167,2.8610394846,368,4.2214568059,1115,5.1161321451,3510,6.4107375897,3,0.0770825231,0,77,869,673
